postalCode,Count_res,zip_x,pcapita,zip_y,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone,densitycountratio,selection_index
70506,2,70506,-0.4921280810399936,70506,30.41228,-92.22121,Church Point,LA,Louisiana,True,,13150,46.6,22001,Acadia,"{'22001':76.25,'22097':23.75}",False,False,America/Chicago,-0.33053879714993606,-0.8226668781899297
75044,2,75044,-0.12122220171994208,75044,33.17647,-96.95054,Little Elm,TX,Texas,True,,34934,491.4,48121,Denton,{'48121':100},False,False,America/Chicago,-0.2183277235998045,-0.3395499253197466
76018,2,76018,-0.6517439238433594,76018,32.42759,-97.54354000000001,Godley,TX,Texas,True,,3866,14.8,48251,Johnson,{'48251':100},False,False,America/Chicago,-0.33856108163486,-0.9903050054782194
22312,2,22312,0.22786568469892995,22312,38.31521,-77.40371,Fredericksburg,VA,Virginia,True,,29152,213.2,51179,Stafford,{'51179':100},False,False,America/New_York,-0.2885100991880387,-0.06064441448910876
2557,2,2557,0.3137475902739329,2557,41.4366,-70.58,Oak Bluffs,MA,Massachusetts,True,,4491,241.3,25007,Dukes,{'25007':100},False,False,America/New_York,-0.2814212251620525,0.03232636511188042
21842,2,21842,0.3758774980368485,21842,38.20319,-75.71507,Princess Anne,MD,Maryland,True,,11126,36.1,24039,Somerset,{'24039':100},False,False,America/New_York,-0.333187664668543,0.04268983336830551
75042,2,75042,-1.0703955494014492,75042,33.110929999999996,-97.0119,Lake Dallas,TX,Texas,True,,10748,521.9,48121,Denton,{'48121':100},False,False,America/Chicago,-0.21063339414099377,-1.281028943542443
76234,2,76234,-0.19936808765131353,76234,33.20016,-97.30705,Ponder,TX,Texas,True,,4618,31.5,48121,Denton,"{'48121':99.24,'48497':0.76}",False,False,America/Chicago,-0.3343481209147899,-0.5337162085661034
2141,2,2141,0.7791175219611411,2141,42.36999,-71.08265,Cambridge,MA,Massachusetts,True,,11910,7142.9,25017,Middlesex,{'25017':100},False,False,America/New_York,1.4596667811634594,2.2387843031246004
2143,2,2143,0.7302234603072513,2143,42.38145,-71.09684,Somerville,MA,Massachusetts,True,,24514,6130.0,25017,Middlesex,{'25017':100},False,False,America/New_York,1.2041393612018403,1.9343628215090916
76426,2,76426,-0.5778891113080649,76426,32.40016,-98.80082,Eastland,TX,Texas,True,,5628,17.2,48133,Eastland,{'48133':100},False,False,America/Chicago,-0.3379556262020355,-0.9158447375101004
